id,source,page,title,status,old_len,new_len
N2-vocab-0318,N2 Junbi Từ vựng,98,予防,replaced,78,72
N2-vocab-0319,N2 Junbi Từ vựng,99,警備,replaced,92,92
N2-vocab-0320,N2 Junbi Từ vựng,99,賃貸,replaced,69,69
N2-vocab-0321,N2 Junbi Từ vựng,100,差別,replaced,116,106
N2-vocab-0322,N2 Junbi Từ vựng,100,標準,replaced,73,73
N2-vocab-0323,N2 Junbi Từ vựng,100,名誉,replaced,88,102
N2-vocab-0324,N2 Junbi Từ vựng,101,豊富,replaced,85,85
N2-vocab-0325,N2 Junbi Từ vựng,101,平等,replaced,88,88
N2-vocab-0326,N2 Junbi Từ vựng,101,症状,replaced,118,163
N2-vocab-0327,N2 Junbi Từ vựng,101,見出し,replaced,51,7
N2-vocab-0328,N2 Junbi Từ vựng,101,結論,replaced,62,62
N2-vocab-0329,N2 Junbi Từ vựng,102,未熟,replaced,151,151
N2-vocab-0330,N2 Junbi Từ vựng,102,壁,replaced,96,96
N2-vocab-0331,N2 Junbi Từ vựng,103,景気,replaced,120,120
N2-vocab-0332,N2 Junbi Từ vựng,103,募集,replaced,122,136
N2-vocab-0333,N2 Junbi Từ vựng,104,活発,replaced,139,139
N2-vocab-0334,N2 Junbi Từ vựng,104,手間,replaced,166,166
N2-vocab-0335,N2 Junbi Từ vựng,105,感覚,replaced,138,140
N2-vocab-0336,N2 Junbi Từ vựng,105,余裕,replaced,116,116
N2-vocab-0337,N2 Junbi Từ vựng,105,講師,replaced,93,93
N2-vocab-0338,N2 Junbi Từ vựng,105,低下,replaced,106,106
N2-vocab-0339,N2 Junbi Từ vựng,106,赤字,replaced,93,93
N2-vocab-0340,N2 Junbi Từ vựng,106,要求,replaced,167,167
N2-vocab-0341,N2 Junbi Từ vựng,107,見事,replaced,131,121
N2-vocab-0342,N2 Junbi Từ vựng,107,休養,replaced,181,180
N2-vocab-0343,N2 Junbi Từ vựng,108,肌,replaced,85,85
N2-vocab-0344,N2 Junbi Từ vựng,108,生きがい,replaced,74,74
N2-vocab-0345,N2 Junbi Từ vựng,108,食卓,replaced,64,64
N2-vocab-0346,N2 Junbi Từ vựng,108,味方,replaced,102,102
N2-vocab-0347,N2 Junbi Từ vựng,109,同僚,replaced,111,111
N2-vocab-0348,N2 Junbi Từ vựng,109,人物,replaced,97,97
N2-vocab-0349,N2 Junbi Từ vựng,109,しわ,replaced,65,65
N2-vocab-0350,N2 Junbi Từ vựng,110,処分,replaced,231,233
N2-vocab-0351,N2 Junbi Từ vựng,111,負担,replaced,147,137
N2-vocab-0352,N2 Junbi Từ vựng,111,省エネ,replaced,145,145
N2-vocab-0353,N2 Junbi Từ vựng,111,海水浴,replaced,79,93
N2-vocab-0354,N2 Junbi Từ vựng,112,妊娠,replaced,78,78
N2-vocab-0355,N2 Junbi Từ vựng,112,大半,replaced,64,64
